MolName	MolCounts
EG10908-MONOMER[c]	2220
EG10909-MONOMER[c]	0
EG10910-MONOMER[c]	2125
EG10911-MONOMER[c]	1957
EG10912-MONOMER[c]	2112
EG10913-MONOMER[c]	1962
EG10914-MONOMER[c]	1857
EG10915-MONOMER[c]	2167
EG10916-MONOMER[c]	2200
EG10917-MONOMER[c]	13441
EG10918-MONOMER[c]	1995
EG10919-MONOMER[c]	2150
EG10920-MONOMER[c]	38315
EG10921-MONOMER[c]	3
EG10923-MONOMER[c]	167
EG10924-MONOMER[c]	11
EG10925-MONOMER[c]	33
EG10926-MONOMER[c]	182
EG10927-MONOMER[c]	0
EG10941-MONOMER[c]	4
EG10942-MONOMER[c]	179
EG10943-MONOMER[c]	0
EG10949-MONOMER[c]	128
EG10950-MONOMER[p]	94
EG10951-MONOMER[i]	31
EG10952-MONOMER[e]	1123
EG10955-MONOMER[c]	163
EG10956-MONOMER[i]	453
EG10967-MONOMER[c]	75
EG10968-MONOMER[i]	3
EG10973-MONOMER[c]	2
EG10975-MONOMER[c]	392
EG10976-MONOMER[c]	2
EG10977-MONOMER[c]	1539
EG10978-MONOMER[c]	0
EG10983-MONOMER[c]	1211
EG10984-MONOMER[i]	261
EG10985-MONOMER[p]	1073
EG10986-MONOMER[c]	157
EG10996-MONOMER[c]	2
EG10997-MONOMER[i]	1
EG11003-MONOMER[c]	10634
EG11004-MONOMER[c]	101
EG11007-MONOMER[i]	0
EG11008-MONOMER[p]	0
EG11009-MONOMER[e]	0
EG11010-MONOMER[i]	226
EG11011-MONOMER[i]	40
EG11012-MONOMER[i]	0
EG11013-MONOMER[c]	572
EG11014-MONOMER[c]	82
EG11016-MONOMER[c]	0
EG11022-MONOMER[c]	209
EG11023-MONOMER[c]	1
EG11033-MONOMER[c]	7893
EG11035-MONOMER[o]	1735
EG11036-MONOMER[i]	47124
EG11037-MONOMER[c]	18128
EG11038-MONOMER[c]	110
EG11056-MONOMER[c]	14
EG11057-MONOMER[c]	1
EG11058-MONOMER[c]	369
EG11059-MONOMER[c]	283
EG11061-MONOMER[c]	48
EG11062-MONOMER[c]	0
EG11063-MONOMER[c]	1
EG11064-MONOMER[c]	1
EG11068-MONOMER[c]	70
EG11069-MONOMER[c]	122
EG11071-MONOMER[c]	0
EG11072-MONOMER[c]	0
EG11073-MONOMER[c]	730
EG11080-MONOMER[c]	288
EG11081-MONOMER[c]	0
EG11082-MONOMER[c]	76
EG11083-MONOMER[c]	176
EG11084-MONOMER[c]	30
EG11085-MONOMER[c]	1
EG11086-MONOMER[i]	0
EG11087-MONOMER[p]	185
