MolName	MolCounts
EG10585_RNA__CPLX0-7796	0
EG10585_RNA__alpha	1
EG10586_RNA__alpha	1
EG10587_RNA__alpha	1
EG10588_RNA__alpha	1
EG10589_RNA__alpha	1
EG10590_RNA__alpha	1
EG10591_RNA__alpha	1
EG10592_RNA__alpha	1
EG10593_RNA__alpha	1
EG10594_RNA__alpha	1
EG10595_RNA__alpha	1
EG10596_RNA__alpha	1
EG10597_RNA__alpha	1
EG10598_RNA__alpha	1
EG10599_RNA__alpha	1
EG10600_RNA__alpha	1
EG10601_RNA__alpha	1
EG10602_RNA__alpha	1
EG10603_RNA__alpha	1
EG10604_RNA__alpha	1
EG10605_RNA__alpha	1
EG10606_RNA__alpha	1
EG10607_RNA__alpha	1
EG10608_RNA__alpha	1
EG10609_RNA__alpha	1
EG10610_RNA__alpha	1
EG10611_RNA__alpha	1
EG10612_RNA__alpha	1
EG10613_RNA__alpha	1
EG10614_RNA__alpha	1
EG10615_RNA__alpha	1
EG10616_RNA__alpha	1
EG10617_RNA__alpha	1
EG10618_RNA__alpha	1
EG10619_RNA__alpha	1
EG10620_RNA__alpha	1
EG10621_RNA__alpha	1
EG10622_RNA__alpha	1
EG10623_RNA__alpha	1
EG10624_RNA__alpha	1
EG10625_RNA__alpha	1
EG10626_RNA__alpha	1
EG10627_RNA__alpha	1
EG10628_RNA__alpha	1
EG10629_RNA__alpha	1
EG10630_RNA__alpha	1
EG10631_RNA__alpha	1
EG10632_RNA__alpha	1
EG10633_RNA__alpha	1
EG10634_RNA__alpha	1
EG10635_RNA__alpha	1
EG10636_RNA__alpha	1
EG10637_RNA__alpha	1
EG10638_RNA__PHOSPHO-NARL	0
EG10638_RNA__PC00027	0
EG10638_RNA__FNR-4FE-4S-CPLX	0
EG10638_RNA__alpha	1
EG10639_RNA__PHOSPHO-NARL	0
EG10639_RNA__FNR-4FE-4S-CPLX	0
EG10639_RNA__alpha	1
EG10640_RNA__PHOSPHO-NARL	0
EG10640_RNA__FNR-4FE-4S-CPLX	0
EG10640_RNA__alpha	1
EG10641_RNA__PHOSPHO-NARL	0
EG10641_RNA__FNR-4FE-4S-CPLX	0
EG10641_RNA__alpha	1
EG10642_RNA__PHOSPHO-NARL	0
EG10642_RNA__PC00027	0
EG10642_RNA__FNR-4FE-4S-CPLX	0
EG10642_RNA__alpha	1
EG10643_RNA__FNR-4FE-4S-CPLX	0
EG10643_RNA__alpha	1
EG10644_RNA__alpha	1
EG10645_RNA__alpha	1
EG10646_RNA__FNR-4FE-4S-CPLX	0
EG10646_RNA__alpha	1
EG10647_RNA__alpha	1
EG10648_RNA__alpha	1
EG10649_RNA__FNR-4FE-4S-CPLX	0
EG10649_RNA__alpha	1
EG10650_RNA__alpha	1
EG10651_RNA__alpha	1
EG10652_RNA__alpha	1
EG10653_RNA__CPLX0-7705	0
EG10653_RNA__PD00288	0
EG10653_RNA__PC00027	0
EG10653_RNA__FNR-4FE-4S-CPLX	0
