MolName	MolCounts
CPLX-63[i]	3
G7022-MONOMER[p]	10
G7023-MONOMER[i]	0
CPLX-64[c]	0
G6281-MONOMER[c]	3
CPLX-722[p]	18
APPA-MONOMER[p]	1
CPLX-7524[c]	14
G6285-MONOMER[c]	1
CPLX-7[i]	2
ARSF-MONOMER[i]	0
CPLX-8331[c]	2
EG11666-MONOMER[c]	0
CPLX-8332[c]	65
CPLX-8401[c]	3
G7463-MONOMER[c]	1
CPLX0-0[c]	23
EG10244-MONOMER[c]	1
CPLX0-1021[c]	1
G6196-MONOMER[c]	1
CPLX0-1041[c]	0
CSRB-RNA[c]	0
EG11447-MONOMER[c]	0
CPLX0-1081[c]	223
EG10863-MONOMER[c]	0
CPLX0-1101[c]	167
EG10996-MONOMER[c]	2
CPLX0-1121[c]	190
G7845-MONOMER[c]	1
CPLX0-1141[c]	11
EG10941-MONOMER[c]	4
CPLX0-1142[c]	1
G7237-MONOMER[c]	1
CPLX0-1161[c]	99
EG11881-MONOMER[c]	1
CPLX0-1162[c]	0
EG11676-MONOMER[c]	0
CPLX0-1163[c]	38
CPLX0-1221[c]	128
G7740-MONOMER[c]	0
CPLX0-1241[c]	0
EG11249-MONOMER[c]	0
CPLX0-1242[c]	12
CPLX0-841[c]	117
CPLX0-1261[c]	412
TRANSKETOII-MONOMER[c]	0
CPLX0-1262[c]	46
G7662-MONOMER[c]	3
CPLX0-1321[i]	304
EG10436-MONOMER[i]	0
EG10435-MONOMER[i]	24
CPLX0-1341[c]	449
G6909-MONOMER[c]	57
G6908-MONOMER[c]	1
G6907-MONOMER[c]	151
CPLX0-1342[c]	356
G6905-MONOMER[c]	0
CPLX0-1382[c]	0
RNPB-RNA[c]	0
EG10862-MONOMER[c]	187
CPLX0-1401[c]	6
G7490-MONOMER[c]	1
CPLX0-1421[c]	9
EG10113-MONOMER[c]	20
CPLX0-1441[p]	99
EG10255-MONOMER[p]	1
CPLX0-1461[c]	1161
EG10438-MONOMER[c]	4
CPLX0-1521[c]	714
EG11415-MONOMER[c]	3
CPLX0-1541[c]	772
EG11090-MONOMER[c]	0
CPLX0-1581[e]	8
EG12180-MONOMER[e]	0
CPLX0-1601[i]	3
G6845-MONOMER[i]	16
G6846-MONOMER[i]	10
G6847-MONOMER[c]	3
G6848-MONOMER[i]	0
CPLX0-1621[c]	0
EG11299-MONOMER[c]	143
CPLX0-1642[c]	247
EG11879-MONOMER[c]	0
CPLX0-1666[c]	0
G7212-MONOMER[c]	1
CPLX0-1667[c]	12
G7213-MONOMER[c]	1
CPLX0-1668[c]	4
CPLX0-1683[c]	32
EG11692-MONOMER[c]	0
CPLX0-1721[s]	21
G6320-MONOMER[e]	309
G6322-MONOMER[p]	160
G6321-MONOMER[p]	1152
YBDE-MONOMER[i]	0
CPLX0-1762[c]	2
G6713-MONOMER[c]	8
G6709-MONOMER[c]	4
G6711-MONOMER[c]	0
G6710-MONOMER[c]	1
CPLX0-1821[c]	343
G7842-MONOMER[c]	0
CPLX0-1841[c]	5
G7500-MONOMER[c]	0
G7499-MONOMER[c]	10
CPLX0-1862[s]	9
CPLX0-1924[s]	287
CPLX0-1863[c]	150
G6379-MONOMER[c]	3
CPLX0-1881[c]	4341
G7877-MONOMER[c]	0
CPLX0-1923[i]	0
EG11012-MONOMER[i]	0
EG10271-MONOMER[i]	2611
EG10272-MONOMER[i]	688
EG10126-MONOMER[e]	25
CPLX0-1941[s]	176
EG10293-MONOMER[e]	3727
CPLX0-1942[s]	277
EG10302-MONOMER[e]	824
CPLX0-1943[s]	0
CPLX0-1944[s]	147
CPLX0-1962[c]	357
EG12345-MONOMER[c]	1
CPLX0-1981[s]	5
CPLX0-1[c]	3
G7413-MONOMER[c]	2
CPLX0-2001[s]	17
CPLX0-201[c]	2
G6428-MONOMER[c]	3
CPLX0-2021[c]	12951
EG10466-MONOMER[c]	20985
EG10467-MONOMER[c]	0
CPLX0-2061[c]	1
EG12279-MONOMER[c]	1
CPLX0-2081[c]	37
EG12399-MONOMER[c]	89
G6627-MONOMER[c]	1
MONOMER0-1261[c]	24
CPLX0-2121[s]	19
EG11354-MONOMER[i]	98
EMRB-MONOMER[i]	0
CPLX0-7964[e]	589
CPLX0-2141[s]	0
EG10266-MONOMER[i]	2
ACRF-MONOMER[i]	0
CPLX0-2161[s]	1
G7233-MONOMER[i]	0
EMRY-MONOMER[i]	0
CPLX0-2201[s]	49
EG10684-MONOMER[e]	16477
EG11007-MONOMER[i]	0
EG11008-MONOMER[p]	0
EG11011-MONOMER[i]	40
EG11010-MONOMER[i]	226
CPLX0-2221[e]	707
CPLX0-7534[e]	19466
CPLX0-224[c]	9
