MolName	MolTotalCounts	MolRequestedCounts
CPLX-158[i]	32	0
FRUB-MONOMER[i]	45	0
FRUA-MONOMER[i]	1	0
CPLX-159[i]	1	0
FRVB-MONOMER[i]	0	0
FRVA-MONOMER[c]	3	0
CPLX-160[i]	3	0
FRWC-MONOMER[i]	0	0
FRWB-MONOMER[c]	3	0
EG11912-MONOMER[c]	14	0
EG11906-MONOMER[c]	0	0
CPLX-165[i]	332	0
MANZ-MONOMER[i]	440	0
MANY-MONOMER[i]	782	0
MANX-MONOMER[i]	0	0
CPLX-166[i]	44	0
MTLA-MONOMER[i]	0	0
CPLX-167[i]	74	0
NAGE-MONOMER[i]	1	0
CPLX-168[i]	7	0
TREB-MONOMER[i]	0	0
CPLX-169[i]	13	0
G8210-MONOMER[i]	8	0
GUTB-MONOMER[c]	0	0
GUTA-MONOMER[i]	10	0
CPLX-170[i]	2	0
AGAB-MONOMER[c]	0	0
AGAC-MONOMER[i]	2	0
AGAD-MONOMER[i]	9	0
CPLX-171[c]	1	0
G6277-MONOMER[c]	1	0
CPLX-3942[c]	25	0
G7712-MONOMER[c]	1	0
G7713-MONOMER[c]	4	0
G7714-MONOMER[c]	82	0
CPLX-3944[e]	91	0
EG10286-MONOMER[e]	0	0
EG10292-MONOMER[p]	289	0
CPLX-3945[s]	8	0
G6545-MONOMER[e]	60	0
G6543-MONOMER[s]	4	0
CPLX-3946[c]	206	0
EG11072-MONOMER[c]	0	0
EG11098-MONOMER[c]	792	0
CPLX-63[i]	3	0
G7022-MONOMER[p]	10	0
G7023-MONOMER[i]	0	0
CPLX-64[c]	0	0
G6281-MONOMER[c]	3	0
CPLX-722[p]	18	0
APPA-MONOMER[p]	1	0
CPLX-7524[c]	14	0
G6285-MONOMER[c]	1	0
CPLX-7[i]	2	0
ARSF-MONOMER[i]	0	0
CPLX-8331[c]	2	0
EG11666-MONOMER[c]	0	0
CPLX-8332[c]	65	0
CPLX-8401[c]	3	0
G7463-MONOMER[c]	1	0
CPLX0-0[c]	23	0
EG10244-MONOMER[c]	1	0
CPLX0-1021[c]	1	0
G6196-MONOMER[c]	1	0
CPLX0-1041[c]	0	0
CSRB-RNA[c]	0	0
EG11447-MONOMER[c]	0	0
CPLX0-1081[c]	223	0
EG10863-MONOMER[c]	0	0
CPLX0-1101[c]	167	0
EG10996-MONOMER[c]	2	0
CPLX0-1121[c]	190	0
G7845-MONOMER[c]	1	0
CPLX0-1141[c]	11	0
EG10941-MONOMER[c]	4	0
CPLX0-1142[c]	1	0
G7237-MONOMER[c]	1	0
CPLX0-1161[c]	99	0
EG11881-MONOMER[c]	1	0
CPLX0-1162[c]	0	0
EG11676-MONOMER[c]	0	0
CPLX0-1163[c]	38	0
CPLX0-1221[c]	128	0
G7740-MONOMER[c]	0	0
CPLX0-1241[c]	0	0
EG11249-MONOMER[c]	0	0
CPLX0-1242[c]	12	0
CPLX0-841[c]	117	0
CPLX0-1261[c]	412	0
TRANSKETOII-MONOMER[c]	0	0
CPLX0-1262[c]	46	0
G7662-MONOMER[c]	3	0
CPLX0-1321[i]	304	0
EG10436-MONOMER[i]	0	0
EG10435-MONOMER[i]	24	0
CPLX0-1341[c]	449	0
G6909-MONOMER[c]	57	0
G6908-MONOMER[c]	1	0
G6907-MONOMER[c]	151	0
CPLX0-1342[c]	356	0
G6905-MONOMER[c]	0	0
CPLX0-1382[c]	0	0
RNPB-RNA[c]	0	0
EG10862-MONOMER[c]	187	0
CPLX0-1401[c]	6	0
G7490-MONOMER[c]	1	0
CPLX0-1421[c]	9	0
EG10113-MONOMER[c]	20	0
CPLX0-1441[p]	99	0
EG10255-MONOMER[p]	1	0
CPLX0-1461[c]	1161	0
EG10438-MONOMER[c]	4	0
CPLX0-1521[c]	714	0
EG11415-MONOMER[c]	3	0
CPLX0-1541[c]	772	0
EG11090-MONOMER[c]	0	0
CPLX0-1581[e]	8	0
EG12180-MONOMER[e]	0	0
CPLX0-1601[i]	3	0
G6845-MONOMER[i]	16	0
G6846-MONOMER[i]	10	0
G6847-MONOMER[c]	3	0
G6848-MONOMER[i]	0	0
CPLX0-1621[c]	0	0
EG11299-MONOMER[c]	143	0
CPLX0-1642[c]	247	0
EG11879-MONOMER[c]	0	0
CPLX0-1666[c]	0	0
G7212-MONOMER[c]	1	0
CPLX0-1667[c]	12	0
G7213-MONOMER[c]	1	0
CPLX0-1668[c]	4	0
CPLX0-1683[c]	32	0
EG11692-MONOMER[c]	0	0
CPLX0-1721[s]	21	0
G6320-MONOMER[e]	309	0
G6322-MONOMER[p]	160	0
G6321-MONOMER[p]	1152	0
YBDE-MONOMER[i]	0	0
CPLX0-1762[c]	2	0
G6713-MONOMER[c]	8	0
G6709-MONOMER[c]	4	0
G6711-MONOMER[c]	0	0
G6710-MONOMER[c]	1	0
CPLX0-1821[c]	343	0
G7842-MONOMER[c]	0	0
CPLX0-1841[c]	5	0
G7500-MONOMER[c]	0	0
G7499-MONOMER[c]	10	0
CPLX0-1862[s]	9	0
CPLX0-1924[s]	287	0
CPLX0-1863[c]	150	0
G6379-MONOMER[c]	3	0
CPLX0-1881[c]	4341	0
G7877-MONOMER[c]	0	0
CPLX0-1923[i]	0	0
EG11012-MONOMER[i]	0	0
EG10271-MONOMER[i]	2611	0
EG10272-MONOMER[i]	688	0
EG10126-MONOMER[e]	25	0
CPLX0-1941[s]	176	0
EG10293-MONOMER[e]	3727	0
CPLX0-1942[s]	277	0
EG10302-MONOMER[e]	824	0
CPLX0-1943[s]	0	0
CPLX0-1944[s]	147	0
CPLX0-1962[c]	357	0
EG12345-MONOMER[c]	1	0
CPLX0-1981[s]	5	0
CPLX0-1[c]	3	0
G7413-MONOMER[c]	2	0
CPLX0-2001[s]	17	0
CPLX0-201[c]	2	0
G6428-MONOMER[c]	3	0
CPLX0-2021[c]	12951	0
EG10466-MONOMER[c]	20985	0
EG10467-MONOMER[c]	0	0
CPLX0-2061[c]	1	0
EG12279-MONOMER[c]	1	0
CPLX0-2081[c]	37	0
EG12399-MONOMER[c]	89	0
G6627-MONOMER[c]	1	0
MONOMER0-1261[c]	24	0
CPLX0-2121[s]	19	0
EG11354-MONOMER[i]	98	0
EMRB-MONOMER[i]	0	0
CPLX0-7964[e]	589	0
CPLX0-2141[s]	0	0
EG10266-MONOMER[i]	2	0
ACRF-MONOMER[i]	0	0
CPLX0-2161[s]	1	0
G7233-MONOMER[i]	0	0
EMRY-MONOMER[i]	0	0
CPLX0-2201[s]	49	0
EG10684-MONOMER[e]	16477	0
EG11007-MONOMER[i]	0	0
EG11008-MONOMER[p]	0	0
EG11011-MONOMER[i]	40	0
EG11010-MONOMER[i]	226	0
CPLX0-2221[e]	707	0
CPLX0-7534[e]	19466	0
CPLX0-224[c]	9	0
MONOMER0-146[c]	1	0
CPLX0-225[c]	2	0
MONOMER-162[c]	3	0
CPLX0-227[c]	5	0
MONOMER0-147[c]	0	0
CPLX0-229[c]	0	0
RNTRACTIV-MONOMER[c]	0	0
CPLX0-230[c]	7	0
ICITDEHASE-KIN-PHOSPHA[c]	1	0
CPLX0-231[i]	304	0
GATC-MONOMER[i]	0	0
GATB-MONOMER[c]	768	0
GATA-MONOMER[c]	1088	0
CPLX0-232[i]	2	0
GLVC-MONOMER[i]	0	0
GLVB-MONOMER[i]	3	0
CPLX0-234[c]	20	0
G7423-MONOMER[c]	0	0
CPLX0-235[i]	1230	0
MONOMER-43[i]	0	0
CPLX0-2361[c]	32	0
EG10238-MONOMER[c]	0	0
EG10243-MONOMER[c]	249	0
EG11505-MONOMER[c]	1982	0
CPLX0-236[c]	17	0
G6770-MONOMER[c]	0	0
CPLX0-237[c]	0	0
SERINE-O-ACETTRAN-MONOMER[c]	0	0
CPLX0-2381[s]	0	0
PPK-CPLX[s]	57	0
CPLX0-3461[i]	0	0
CPLX0-3541[c]	700	0
CPLX0-3521[c]	843	0
ENOLASE-CPLX[c]	6953	0
CPLX0-238[c]	626	0
ARGSUCCINSYN-MONOMER[c]	1	0
CPLX0-2401[c]	0	0
TRYPSYN-BPROTEIN[c]	1	0
CPLX0-240[c]	4	0
TAGAALDOL1-MONOMER[c]	0	0
G7631-MONOMER[c]	5	0
CPLX0-241[c]	3856	0
TAGAALDOL2-MONOMER[c]	2337	0
G7128-MONOMER[c]	0	0
CPLX0-2423[i]	0	0
EG10686-MONOMER[i]	0	0
CPLX0-2424[i]	82	0
EG10687-MONOMER[c]	146	0
CPLX0-2425[c]	314	0
EG10423-MONOMER[c]	131	0
EG10424-MONOMER[c]	0	0
CPLX0-242[c]	130	0
EG10395-MONOMER[c]	0	0
CPLX0-243[c]	2151	0
INORGPYROPHOSPHAT-MONOMER[c]	2	0
CPLX0-2441[c]	666	0
EG10845-MONOMER[c]	3	0
CPLX0-244[c]	198	0
EG11261-MONOMER[c]	1	0
CPLX0-245[c]	240	0
EG11384-MONOMER[c]	45150	0
