Matches	Ontology -  all instances of class from New SmartTable with a nucleotide	Synonyms	Object ID
a nucleotide	two adjacent 2'-deoxycytidines in DNA		CPD-20735
a nucleotide	two adjacent thymidines in DNA	thymidylyl-(3'-5')-thymidylate (in DNA)	CPD-11643
a nucleotide	UDP-2-N,3-O-bis[(3R)-3-hydroxytetradecanoyl]-alpha-D-glucosamine	UDP-2,3-bis(3-hydroxytetradecanoyl)glucosamine // UDP-2,3-diacyl-glucosamine // UDP-2,3-bis(3-hydroxymyristoyl)glucosamine // UDP-2,3-bis[(3R)-3-hydroxymyristoyl]-alpha-D-glucosamine // UDP-2,3-bis[O-(3R)-3-hydroxymyristoyl]-alpha-D-glucosamine	OH-MYRISTOYL
a nucleotide	UDP-3-O-(3-hydroxymyristoyl)-alpha-D-glucosamine	UDP-3-O-(3-hydroxytetradecanoyl)-D-glucosamine // UDP-3-O-(3-hydroxytetradecanoyl)glucosamine // UDP-3-O-[(3R)-3-hydroxymyristoyl]-D-glucosamine	UDP-OHMYR-GLUCOSAMINE
a nucleotide	UDP-3-O-[(3R)-3-hydroxymyristoyl]-N-acetyl-alpha-D-glucosamine	UDP-3-O-(3-hydroxytetradecanoyl)-N-acetylglucosamine // UDP-3-O-(3-hydroxymyristoyl)-N-acetylglucosamine	UDP-OHMYR-ACETYLGLUCOSAMINE
a nucleotide	UDP-4-amino-4-deoxy-beta-L-arabinopyranose	uridine 5''-diphospho-beta-4-deoxy-4-amino-L-arabinose // UDP-4-amino-4-deoxy-L-arabinose	UDP-4-AMINO-4-DEOXY-L-ARABINOSE
a nucleotide	UDP-alpha-D-galactofuranose	UDP-Galf // UDP-D-galactofuranose // UDP-alpha-D-galacto-1,4-furanose	UDP-D-GALACTO-14-FURANOSE
a nucleotide	UDP-alpha-D-galactose	UDP-alpha-D-galactopyranose // UDP-galactose // UDP-Gal	CPD-14553
a nucleotide	UDP-alpha-D-glucosamine	UDP-glucosamine // UDP-D-glucosamine	UDP-D-GLUCOSAMINE
a nucleotide	UDP-alpha-D-glucose	UDPG // UDP-glucose // UDP-D-glucose // UDP-alpha-D-glucopyranose	CPD-12575
a nucleotide	UDP-alpha-D-glucuronate	UDP-D-glucuronic acid // UDP-glucuronic acid // UDP-glucuronate // uridine diphosphate glucuronate // uridine diphosphate glucuronic acid // UDP-D-glucuronate // UDP-GlcA	UDP-GLUCURONATE
a nucleotide	UDP-beta-L-threo-pentapyranos-4-ulose	UDP-4-keto-alpha-D-xylose // UDP-4-dehydro-alpha-D-xylose // UDP-4-keto-pyranose // uridine 5'-beta-L-threo-pentapyranosyl-4''-ulose diphosphate // UDP-4-ketopentose // UDP-L-Ara4O	5-BETA-L-THREO-PENTAPYRANOSYL-4-ULOSE-
a nucleotide	UDP-N-acetyl-alpha-D-glucosamine	UDP-2-acetamido-2-deoxy-D-glucose // UDP-acetyl-D-glucosamine // UDP-GlcNAc // UDP-N-acetyl-glucosamine // uridine diphosphate N-acetylglucosamine // N-[2-[[[5-[(2,4-dioxo-1H-pyrimidin-1-yl)]-3,4-dihydroxy-tetrahydrofuran-2-yl]methoxy-hydroxy-phosphinoyl]oxy-hydroxy-phosphinoyl]oxy-4,5-dihydroxy-6-(hydroxymethyl)tetrahydropyran-3-yl]acetamide // UDP-2-acetamido-2-deoxy-alpha-D-glucose // UDP-N-acetyl-D-glucosamine // UDP-alpha-N-acetyl-D-glucosamine	UDP-N-ACETYL-D-GLUCOSAMINE
a nucleotide	UDP-N-acetyl-alpha-D-glucosamine 3'-phosphate	UNAG-3P // UDP-N-acetyl-alpha-D-glucosamine 3-phosphate // UDP-N-acetyl-D-glucosamine 3'-phosphate	CPD-14021
